id,statement
8d0b2621524162b7c900ebba92bf7019,"Bill sits down on a whoopee cushion, what sound does he make when he sits? Answer: flatulence"
136c08fe01cb3e029b18b62997267810,What is likely heard by those going to a party? Answer: laughter
819890987657d108834837af52d7b42b,A handsome prince is a stock character common to what? Answer: fairy tale
033908492f55b9092e0fbdbcf49bab94,What covers the largest percentage of the pacific northwest? Answer: united states
b67f97a3fd9f4025d34f927a7a616512,When black and white balls are kicked with feet what is being played? Answer: soccer game
0377b8205981a2da2da4c5b80b27057c,"If someone had been smoking, an easy way to tell would be if they were what? Answer: coughing"
411b40d253960936de500ef3a57d650b,Billy was smart but inexperienced.  In many ways he was what? Answer: ignorant
339dbff196404f63ac8660da1033bfee,Where can someone find a shiny advertisement? Answer: magazine
6401f11df53df1ef3f403de9a66150d7,The only thing left of the ancient giants lizards are fossils and what? Answer: bones
746d4507203ad0b6374ad03686b544cc,"He sat down at the table to play poker, to join the hand he had to what? Answer: ante up"
33c963d10ee6d129f9889b0369fd51ca,Becoming inebriated leads to what state? Answer: drunkenness
357d23b1b6ee9c8429732abbb87d3855,"From state to state gardeners appreciate the bee, it is a popular pollinator where? Answer: united states"
3b776e4cf27e8e7fb238665e138b4515,Many prison movies take place at what famous prison? Answer: alcatraz
9b8cd9811a98920365c738d2084eefa5,"The lizard lived at the base of the ancient longest wall, what country did it likely live in? Answer: china"
e73d6adda1b587aa99ab26b17eaae7c5,Where might someone go to watch a flute? Answer: symphony
01222aa87ada7283129f7662cc0c4c5b,"Family is always the best for devotion, but it is also nice if a person has what? Answer: loyal friends"
1071356c6f9c269dd31f60a388235881,Where would you put a marker if you plan to use it soon at the same location? Answer: desk
603acfcb73c489f6cc374cd1d8d10b07,He kept a container can for draining oil in what location of the house? Answer: garage
051a9fcd42a663e4b0f5d0a487fcd9bc,What do humans have that cerberus does not have? Answer: one head
e13eaf84dcbb81681834b71748c635d1,The video game featured an anger bar that you charged up to more easily do what? Answer: destroy enemy
b09565ee419576bc451a65a1013443ec,Where would you use a changing room before gym? Answer: schools
694e6674295de4ab2d93fad3d7ba48c1,The bird took flight by moving its what? Answer: two wings
baa25ff3ae9064e2c0824d0e702f711a,"It could have been a beautiful day, but what did the overcast sky do to the color? Answer: dull"
d265fa98480eddeca7db28d8c73ad4d2,Where will any tearoom be? Answer: building
951723b28151ba3e238917afc8bf032a,"If you are deep in a cave, what would you follow to find your way out? Answer: light"
9e15b6ac3333c02afacb53a286051ff2,"When playing baseball they keep track of mistakes, this stat is called what? Answer: errors"
fed410c2c6c1eef23c4fdfd8a1fc501e,"When people want to watch a new move, the often go see it at the? Answer: theater"
d0f6be91ef071b5a5a4a9a84c5138446,What is the goal of a poor person having food? Answer: will not starve
a518e6486a560ddef1ba140c75944ef3,What do cats like to hug when they are peeking at birds? Answer: ground
1b050d4c1d6aee596bc0205f6d7aa995,"The small dog always picked up the newspaper from the driveway, where did the dog live? Answer: suburb"
2c1f36267c3663cd1bb22e33f297be1b,Behind what small door are canned goods usually kept in? Answer: cupboard
a13e42b3eb3be6f6cc6fd702203096f4,"American humans just graduated high school, where are many of them bound? Answer: university"
80470c5f592040322c50914bb4129d64,Where is known to always have snow? Answer: north pole
884a20ee89ce4088a5dc3dbc4cc9b747,What will happen to you if you are staying healthy? Answer: long life
ba6449de6d9637a99a978cf97f4d5c0f,Where do students use a pen? Answer: classroom
9a4039c873d179816f6d6bc43cea2a2d,Where do investment bankers hang out in the suburbs? Answer: country club
30d5b111ebacc5f48f7b896ce85dcc2d,What would a person do if he or she just woke up? Answer: drink tea
b1f17c81c549694441826bf30e032eef,"The person was exposed as a liar, so what happened as a result? Answer: feel humiliated"
4279383d2ed9350b7d0d46218de17b62,When you go to buy a sheep you will learn that it is what? Answer: expensive
e7e5f05b8f359cefd60c3ff89a7f9403,What would you put on your foot first before anything else? Answer: sock
77a4a131e9083f6a4c70e8f88df54056,What is a good result of losing weight? Answer: healthier
51a4eef10d18d85f8bb3d1037d6db244,where do people go to view famous pictures? Answer: art show
8c3e27a26a4c7482ab1639d8f9b557b8,What type of plant is the tallest found on earth? Answer: tree
d8c570d0c7b16b513c20857dfbd7509e,The company was very cheap.  The didn't do what? Answer: pay employees
c4ddf7c8914789ed49147eeeb7055784,"The moon was seen surrounded by stars, when was it seen by people? Answer: night sky"
64b6e39a574a0f475ac116021bdf6c99,Where should you find a school in? Answer: every city
2bb50f90416e95f587a4dcb1b1a4f726,What can happen when kissing outside? Answer: get cold
251e237360e6603f030430c9807a357e,When picking an object for a baby something soft is the what option? Answer: sensible
7042f9b4f9cb95e6cad8f04ecd713636,When their litter box is full where might a cat go to the bathroom? Answer: houseplant
691cd808e03a6c767e431fc1bac272cf,Where is a place a beaver wouldn't feel free? Answer: zoo
9117,An older man sits on an orange riding lawnmower. the man Answer: mows the yard in circles.
36033,A reclining woman knits with her hands. the woman Answer: talks without facing the camera.
26750,A boy wearing glasses is seated at a table. he Answer: is attempting to solve a rubik's cube.
8484,Two people are sitting at a table. they Answer: are playing a game of rock paper scissors.
32772,A roof is repaired by pvc. the roof Answer: is cleaned and the seal is made again.
20155,A band plays music on stage. a man Answer: plays the drums intensely.
